acousticness,danceability,duration_ms,energy,song_title,artist
0.0789,0.577,355881,0.941,Let Me Show You Love,Cut Copy
0.141,0.5,256093,0.593,New Slaves,Kanye West
0.108,0.804,336160,0.708,Sexy Socialite,Chromeo
0.0108,0.787,273853,0.658,Okay,Holy Ghost!
0.0107,0.246,230230,0.784,Weight,Mikal Cronin
0.0107,0.882,284027,0.743,When A Fire Starts To Burn,Disclosure
0.0315,0.628,308527,0.824,When A Fire Starts To Burn - Midland Remix,Disclosure
0.00807,0.451,179947,0.79,Fake Tales Of San Francisco,Arctic Monkeys
0.64,0.518,405027,0.385,Billie Holiday,Warpaint
0.0414,0.774,269867,0.901,Goody Two Shoes,Duck Sauce
0.0127,0.547,245293,0.635,The Wire,HAIM
0.0585,0.552,283636,0.878,Awake,Tycho
0.00856,0.542,216827,0.946,Man I Need,Jagwar Ma
0.019,0.695,246521,0.94,N.O. Bounce,Big Freedia
0.0488,0.633,224720,0.492,Now Is Not The Time,CHVRCHES
0.365,0.312,222719,0.445,No Rest For The Wicked,Lykke Li
0.17,0.43,154414,0.436,Holdin On,Flume
0.0346,0.19,230693,0.908,Rocking Chair,The Districts
0.0361,0.312,281360,0.907,Marriage,Gold Panda
0.00818,0.539,224907,0.582,Ride On / Right On,Phosphorescent
0.613,0.698,230200,0.878,GodLovesUgly,Atmosphere
0.00275,0.476,195200,0.818,New York City,Christopher Owens
0.064,0.568,322544,0.936,Moving to the Left,Woods
0.00192,0.558,301573,0.74,All These Things That I've Done,The Killers
0.0212,0.604,187253,0.894,Junk of the Heart (Happy),The Kooks
0.0516,0.718,224267,0.921,When The Night Falls - feat. Solange Knowles,Chromeo
0.0855,0.737,332453,0.545,Mercy,Kanye West
0.0293,0.769,214333,0.712,Don't You Evah,Spoon
0.00731,0.567,343784,0.506,We Exist,Arcade Fire
0.000467,0.817,213059,0.588,Le Goudron (Edit),YACHT
0.0411,0.767,179240,0.912,Double Bubble Trouble,M.I.A.
0.000195,0.77,391686,0.895,Careless,Dusky
0.827,0.712,279800,0.77,Look at You,George McCrae
0.39,0.706,131250,0.577,How Did I Get Here,ODESZA
0.00471,0.542,227160,0.799,Black Out Days,Phantogram
0.827,0.583,248213,0.776,Bang! Bang!,Joe Cuba
0.0628,0.727,289267,0.548,Every 1's A Winner - Single Version,Hot Chocolate
0.00919,0.45,201602,0.782,Unbound,Cathedrals
0.0027,0.602,215518,0.764,Operate,ASTR
0.385,0.415,359800,0.681,Blood On The Leaves,Kanye West
0.0304,0.614,315000,0.838,Come Save Me,Jagwar Ma
0.105,0.901,212712,0.744,Hannah Montana,Migos
0.359,0.7,218733,0.986,High School Lover,Cayucas
0.119,0.583,202710,0.843,They Come in Gold,Shabazz Palaces
0.0112,0.6,215000,0.586,Tides of Neptune,Virgo
0.251,0.786,255094,0.706,Cocaine Model,ZHU
0.0696,0.512,287147,0.821,Light House,Future Islands
0.403,0.791,199973,0.664,Pass The Dutchie,Musical Youth
0.849,0.533,378253,0.213,Words I Don't Remember,How To Dress Well
0.0862,0.731,178987,0.75,I Would Die 4 U,Prince
0.000156,0.853,356560,0.532,Bless My Soul,Nightmares On Wax
0.0398,0.674,313147,0.501,Heaven And Hell Is On Earth,20th Century Steel Band
0.0448,0.788,243800,0.617,Upper Echelon,Travis Scott
0.000686,0.745,384907,0.857,Flying High (Part 1),Cloud One
0.0107,0.621,240760,0.796,Go,Grimes
0.377,0.818,242067,0.528,Spill The Wine,Eric Burdon
0.0988,0.856,247800,0.874,Got To Give It Up (Part 1),Marvin Gaye
0.0913,0.614,286315,0.857,Never Gonna Give You Up,Barry White
0.0778,0.729,289627,0.527,Sanctified,Rick Ross
0.0608,0.42,151853,0.776,It #1,Ty Segall
0.011,0.757,280427,0.578,Dangerous (feat. Joywave),Big Data
0.0249,0.618,221840,0.538,Counting,Autre Ne Veut
0.642,0.657,175333,0.393,You're the Best,Wet
0.538,0.879,313493,0.495,Estrelar,Marcos Valle
0.0172,0.496,190582,0.54,Hold On We're Going Home,ASTR
0.0639,0.742,256693,0.945,Uncle ACE,Blood Orange
0.245,0.623,227907,0.65,San Francisco,Foxygen
0.00101,0.736,258387,0.68,Stay High - Habits Remix,Tove Lo
0.254,0.482,139267,0.96,Crosstown Traffic,Jimi Hendrix
0.0117,0.683,175357,0.86,Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle
0.0626,0.697,181149,0.655,Marijuana,Chrome Sparks
0.479,0.631,187617,0.626,Crown Violet - Bonus Track,Azizi Gibson
0.0957,0.747,202349,0.722,Glad I Met You,D. Gookin
0.251,0.569,265827,0.74,Dancing In The Rain,Blu
0.029,0.674,202733,0.832,You Know I'm No Good - Ghostface UK Version,Amy Winehouse
0.00744,0.578,246007,0.947,Kill V. Maim,Grimes
0.449,0.586,217120,0.658,Life Round Here,James Blake
0.275,0.756,206378,0.44,Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign
0.212,0.723,322050,0.687,"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)",Dâm-Funk
0.0559,0.599,243589,0.645,Clouds Over the Pacific,James Pants
0.00333,0.586,238507,0.671,Distant Land,Madlib
0.0332,0.749,267800,0.802,Flashlight,Parliament
0.539,0.689,171560,0.83,Can You Get To That,Funkadelic
0.0257,0.283,186369,0.331,Better,Banks
0.0193,0.413,216771,0.676,Pony,Pretty Sister
0.0181,0.932,192773,0.819,WTF (Where They From) [feat. Pharrell Williams],Missy Elliott
0.0062,0.748,312240,0.733,Again,Fetty Wap
0.108,0.53,194613,0.433,Exchange,Bryson Tiller
0.196,0.388,238000,0.688,Sugar for the Queen,Bells Atlas
0.667,0.371,275013,0.703,Symphony of the Nymph,Ariel Pink's Haunted Graffiti
0.124,0.875,347667,0.532,Cool It Now,New Edition
0.074,0.523,215867,0.722,Jumpin' Jack Flash,Ananda Shankar
0.0962,0.654,252095,0.292,River,Ibeyi
0.455,0.847,191541,0.654,You Know You Like It - Bondax Remix,AlunaGeorge
0.015,0.836,229715,0.537,Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena
0.172,0.413,273545,0.555,Mykonos (feat. Fleet Foxes),Rhythms Del Mundo
0.123,0.473,153973,0.865,So Destroyed (channeling Rage Peace),Prince Rama
0.00593,0.609,207301,0.641,Bitch,Allie X
0.174,0.544,181400,0.427,Locket,Kilo Kish
0.0059,0.379,325500,0.674,Apathy,Shlohmo
0.000304,0.316,245880,0.748,It All Feels Right,Washed Out
0.29,0.857,222573,0.484,Last Chance to Dance,Ekkah
0.00412,0.389,215560,0.884,The Righteous One,The Orwells
0.00492,0.519,282659,0.793,The New International Sound,GENER8ION
0.384,0.478,281774,0.6,Like Lust,MOVEMENT
0.00978,0.706,362413,0.643,Rhythm of Devotion,Sisyphus
0.0621,0.736,190440,0.539,Zion Gate Dub,King Tubby
0.081,0.651,253587,0.77,Enjoy The Silence - Remastered Version Original,Depeche Mode
0.0269,0.869,270520,0.658,Fried Neck Bones And Some Home Fries - Dan The Automator Remix,Willie Bobo
0.428,0.624,238427,0.852,Archangel,Burial
0.699,0.386,328966,0.509,"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat
0.22,0.234,207186,0.747,Skyscraper,Elephant
0.516,0.525,216520,0.797,I Want You - Single Version,Marvin Gaye
0.00564,0.521,208613,0.888,"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION
0.504,0.719,181459,0.697,Suede (feat. Anderson Paak & Knxwledge),NxWorries
0.825,0.722,196507,0.605,Bam Bam,Sister Nancy
0.0453,0.806,218280,0.696,Alright,Logic
0.259,0.763,156484,0.491,Rainy Streets,Blue In Green
0.00403,0.736,168451,0.68,Hazelton Trump,OB OBrien
0.0141,0.651,256667,0.824,Free Stress Test,Professor Murder
0.127,0.479,278147,0.609,I'm Ya Dogg,Snoop Dogg
0.379,0.535,293213,0.374,Hot Dreams,Timber Timbre
0.0861,0.356,242253,0.567,The Hills,The Weeknd
0.26,0.753,200213,0.9,"When They Fight, They Fight",Generationals
0.032,0.694,273949,0.789,The River,Son Little
0.0356,0.483,229893,0.804,Rill Rill,Sleigh Bells
0.0453,0.878,372096,0.43,Awake,Santé
0.19,0.703,228040,0.412,Johnny Was,Bob Marley & The Wailers
0.407,0.688,192040,0.488,Monster Mash,"Bobby ""Boris"" Pickett"
0.854,0.316,659560,0.308,Night on Bald Mountain,Modest Mussorgsky
0.153,0.725,230400,0.918,Feel The Volume,Jauz
0.321,0.749,308947,0.422,Water Me (feat. Leon Ware),Theophilus London
0.00079,0.771,248991,0.248,Kathy Lee,Jessy Lanza
0.0259,0.69,225533,0.548,Love Buzz,Shocking Blue
0.058,0.648,201848,0.887,Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah
0.0498,0.403,274480,0.742,Auditorium,Mos Def
0.0803,0.664,472013,0.727,Disco Devil,"Lee ""Scratch"" Perry"
0.118,0.704,288347,0.894,Frontier Psychiatrist,The Avalanches
0.00189,0.554,252140,0.749,Had Ten Dollaz,Cherry Glazerr
0.0174,0.446,241800,0.752,Sometimes,Heems
0.124,0.612,265133,0.628,VHS Sex,Com Truise
0.00838,0.587,235440,0.866,Ambling Alp,Yeasayer
0.429,0.551,141493,0.952,All Day And All Of The Night,The Kinks
0.419,0.331,133093,0.957,Strychnine,The Sonics
0.106,0.912,194040,0.317,Who Is He (And What Is He to You?),Bill Withers
0.0211,0.697,236456,0.905,Acamar,Frankey
0.00799,0.883,382015,0.333,It Looks Like Love,Goody Goody
0.00236,0.733,232375,0.87,Freak Connection - Edit,Cerrone
0.0602,0.803,446307,0.579,"I'll Be Good - 12"" Mix",Rene & Angela
0.219,0.698,223191,0.515,Here I Come (Broader Than Broadway),Barrington Levy
0.0138,0.677,144280,0.905,Swords,M.I.A.
0.0169,0.648,197800,0.862,Hands On The Wheel,ScHoolboy Q
0.315,0.65,190734,0.448,Kush High,Eighty4 Fly
0.518,0.672,248372,0.527,Métele,Buscabulla
0.0567,0.838,194828,0.537,What I Might Do,Ben Pearce
0.0286,0.76,479547,0.391,Atomic Bomb,William Onyeabor
0.00909,0.646,279200,0.621,World Restart,Kindness
0.0445,0.808,237853,0.687,Swingin' Party,Kindness
0.119,0.716,263817,0.647,Antidote,Travis Scott
0.0111,0.846,233387,0.501,Pieces,Tanlines
0.388,0.704,745653,0.942,Zombie,Fela Kuti
2.84E-06,0.305,97560,0.827,Time-Out,Terror Train
0.0115,0.82,349720,0.616,Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang
0.136,0.185,105858,0.89,I'm a Dildo,No Parents
0.00328,0.562,238457,0.801,Do It (High School Dropout),Tayyib Ali
0.376,0.565,217648,0.86,Cadillac Girl,Only Real
0.196,0.464,199053,0.772,Today,Tom Scott
0.248,0.576,235187,0.602,"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude
0.0686,0.388,220467,0.598,I Choose You,Willie Hutch
0.602,0.637,156430,0.498,The Way You’d Love Her,Mac Demarco
0.0893,0.636,235813,0.72,Shooting Stars,Bag Raiders
0.000141,0.688,324437,0.587,Bloom - Lane 8 Remix,ODESZA
0.0469,0.766,237867,0.82,Pacifier,Young Thug
0.133,0.402,206920,0.794,Powerful,Major Lazer
0.157,0.599,218342,0.524,Unbreakable,Janet Jackson
0.371,0.837,245581,0.492,It's Strange (feat. K.Flay),Louis The Child
0.0124,0.612,231765,0.858,Make Them Gold,CHVRCHES
0.19,0.63,348742,0.671,Don't Mean A Thing,Lapalux
0.0953,0.614,237073,0.858,White Lies - The Soundmen Remix,Max Frost
0.27,0.446,259765,0.89,Sophia So Far,Goodnight Radio
0.0846,0.481,263187,0.851,Nimble Girl,Hotel Eden
0.00855,0.293,202160,0.792,Grinder,Gary Clark Jr.
0.128,0.889,272720,0.597,Choices (Yup),E-40
0.088,0.673,347613,0.857,Two Brothers,Hanni El Khatib
0.0406,0.536,238893,0.922,Walkabout (W/ Noah Lennox),Atlas Sound
0.0377,0.575,215973,0.691,Ferus Gallery,Allah-Las
0.021,0.571,237680,0.719,Everybody Loves The Sunshine,Roy Ayers Ubiquity
0.0466,0.784,252663,0.803,Number One,Tuxedo
0.16,0.746,179091,0.682,Sick Beat,Kero Kero Bonito
0.00266,0.444,217733,0.498,She a Go (feat. Spinn & Taso),DJ Rashad
0.0833,0.736,218312,0.882,Lost You,Zeds Dead
0.445,0.915,183159,0.54,Norf Norf,Vince Staples
0.304,0.75,229588,0.835,Eleven 11: / 11,Rob Curly
0.109,0.632,197963,0.519,Buffalo,Toro y Moi
0.0152,0.814,234640,0.83,Talk About,Les Sins
0.273,0.893,142012,0.378,Probably Nu It,Tree
0.0146,0.823,274320,0.768,Mamacita,Travis Scott
0.0573,0.639,284080,0.749,Star,Gary Clark Jr.
0.726,0.49,289307,0.376,Gooey,Glass Animals
0.0487,0.289,273000,0.523,Walk On By - Single Version,Isaac Hayes
0.111,0.615,196817,0.781,Omen - Radio Edit,Disclosure
0.0207,0.808,292373,0.41,Champagne Coast,Blood Orange
0.102,0.775,423747,0.528,Running Back To You,The Juan Maclean
0.00757,0.393,261187,0.838,BKNY,Fat Tony
0.01,0.449,191425,0.416,Pains,Silk Rhodes
2.24E-05,0.595,224094,0.549,Night Drive,Part Time
0.038,0.728,176675,0.62,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
0.765,0.561,213786,0.896,Indian Food,Dumbo Gets Mad
0.775,0.758,216234,0.343,Childs Play (feat. Chance the Rapper),SZA
0.000429,0.782,351707,0.938,Lets Start the Dance,Bohannon
0.323,0.839,369067,0.48,Rollerskate,Matias Aguayo
0.0301,0.226,247027,0.261,Outro,M83
0.268,0.763,322093,0.623,Grindin’ My Whole Life,HS87
0.0626,0.858,254920,0.717,Slyd,!!!
0.000239,0.329,255413,0.814,The Moment,Tame Impala
0.317,0.727,197133,0.599,R.I.C.O. (feat. Drake),Meek Mill
0.00605,0.318,182987,0.975,Black And White,Parquet Courts
0.0818,0.61,290667,0.791,Never Never Gonna Give Ya Up,Barry White
0.0021,0.646,219754,0.892,Wait & See,Holy Ghost!
0.016,0.79,233813,0.616,Wait for a Minute,tUnE-yArDs
0.0385,0.484,205500,0.492,5ft7,Tonstartssbandht
0.304,0.785,373243,0.573,200 Press,James Blake
0.113,0.715,329169,0.64,Huarache Lights,Hot Chip
0.0414,0.811,312360,0.635,Leave House,Caribou
0.704,0.597,318261,0.721,"Sweet Power, Your Embrace",James Mason
0.785,0.6,299711,0.413,Hunger Of The Pine,alt-J
0.629,0.811,141000,0.461,Money Money,Horace Andy
0.0167,0.797,211882,0.961,Symptom - Original Mix,Deapmash
0.391,0.799,157068,0.657,I'll Do a Little Bit More,The Olympics
0.0301,0.769,703107,0.514,Who Is He And What Is He To You,Creative Source
0.27,0.865,462467,0.896,Bustin' Loose,Chuck Brown and the Soul Searchers
0.107,0.826,253747,0.751,I Wish,Stevie Wonder
0.96,0.508,250533,0.325,Baby,Donnie & Joe Emerson
0.124,0.85,311120,0.818,More Bounce To The Ounce,Zapp
0.0245,0.819,302000,0.684,Outlaw,War
0.0194,0.896,474040,0.482,Walking Into Sunshine,Central Line
0.0129,0.401,592920,0.661,Pyramids,Frank Ocean
0.0106,0.346,301867,0.808,Lazuli,Beach House
0.115,0.697,251267,0.529,Oblivion,Grimes
0.195,0.605,209573,0.732,Obedear,Purity Ring
0.034,0.691,425320,0.71,Flutes,Hot Chip
0.0079,0.428,316444,0.74,Club Rez,Girl Unit
0.00525,0.555,263213,0.612,Cry Like A Ghost,Passion Pit
0.482,0.732,167547,0.468,Chained,The xx
0.0124,0.633,284925,0.926,Disparate Youth,Santigold
0.000199,0.284,141813,0.961,Cheap Beer,FIDLAR
0.119,0.68,313787,0.489,Swimming Pools (Drank) - Extended Version,Kendrick Lamar
0.0463,0.578,208139,0.825,Origins,Tennis
0.0602,0.658,156707,0.835,Affection,Crystal Castles
0.00914,0.385,180493,0.902,Comeback Kid,Sleigh Bells
0.0555,0.735,260400,0.798,Losing You,Solange
0.132,0.635,139931,0.766,Grown Up,Danny Brown
0.0101,0.569,305680,0.857,"It's Not My Fault, I'm Happy",Passion Pit
0.000613,0.469,387640,0.823,How Deep Is Your Love?,The Rapture
0.0571,0.502,287827,0.632,Are you... Can you... Were you? (Felt),Shabazz Palaces
0.0212,0.597,260467,0.798,Second Song,TV On The Radio
0.459,0.673,132049,0.764,Mornin',Star Slinger
